,SHOPKEEPER_SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
2960,It comes in 3 colors silver white and black,PASSIVE,PRESENT_X;SONY,700;PRESENT_X;SONY,*,0.6788180542,,-
4108,this one has 3 different colors silver white and black,PASSIVE,PRESENT_X;SONY,700;PRESENT_X;SONY,-,0.6788180542,,-
3024,this color of this camera comes in 3 colors color white and black,PASSIVE,PRESENT_X;SONY,700;PRESENT_X;SONY,-,0.6788180542,,-
1207,glad to be of service have a good afternoon,PROACTIVE,WAITING;NONE,701;WAITING;NONE,-,0.4869193898,,-
2624,if you need anything I will be at the service counter,PASSIVE,WAITING;NONE,701;WAITING;NONE,*,0.4869193898,,-
2789,if you need anything else I'll be in the service culture,PASSIVE,WAITING;NONE,701;WAITING;NONE,-,0.4869193898,,-
152,this is an excellent camera in the evening time it can go up to 3200 ISO and have a 30 second shutter speed,PROACTIVE,PRESENT_X;SONY,702;PRESENT_X;SONY,*,0.4660499626,,-
1978,The iso is 3200 with a shutter speed of 30 seconds so depending on your creative effects you can shoot up to mid evening quite well,PROACTIVE,PRESENT_X;SONY,702;PRESENT_X;SONY,-,0.4660499626,,-
715,"it's only $550 and for that you get an ISO of 3200, and a slow shutter speed of 30 seconds",PROACTIVE,PRESENT_X;SONY,702;PRESENT_X;SONY,-,0.4660499626,,-
4491,that one basically goes up to 5 times so for instance you want to take a long range image such as a football field it can do that,PASSIVE,PRESENT_X;NIKON,703;PRESENT_X;NIKON,*,0.601087451,,-
4512,yes for instance the iPhone have 5 so,PASSIVE,PRESENT_X;NIKON,703;PRESENT_X;NIKON,-,0.601087451,,-
940,"that depends on the lens you attach, if you have a lens is compatible with autofocus, this camera has a new system with 61 auto focus points and artificial intelligence built into the software so it can be very responsive and very accurate",PROACTIVE,PRESENT_X;CANON,704;PRESENT_X;CANON,*,0.6188903153,,-
78,it has 61 auto focus points that can be combined in a variety of autofocus modes,PROACTIVE,PRESENT_X;CANON,704;PRESENT_X;CANON,-,0.6188903153,,-
1323,great look forward to seeing you again,PROACTIVE,PRESENT_X;CANON,705;PRESENT_X;CANON,-,0.8085354269,,-
1658,no problem look forward to seeing it tomorrow,PROACTIVE,PRESENT_X;CANON,705;PRESENT_X;CANON,*,0.8085354269,,-
3067,good afternoon sir how can I help you today,PASSIVE,WAITING;NONE,706;WAITING;NONE,-,0.7901417149,,-
2992,good afternoon sir,PASSIVE,WAITING;NONE,706;WAITING;NONE,-,0.7901417149,,-
3059,good afternoon sir how can I help you today,PASSIVE,WAITING;NONE,706;WAITING;NONE,*,0.7901417149,,-
1854,good evening how can I help,PROACTIVE,PRESENT_X;CANON,707;PRESENT_X;CANON,*,,,-
2963,good morning,PASSIVE,WAITING;NONE,708;WAITING;NONE,*,,,-
3110,"Yes we have this, this is the Canon EOS 5d",PASSIVE,PRESENT_X;CANON,709;PRESENT_X;CANON,-,0.5477714671,,-
3077,"This is canon EOS 5d, it's a pro camera which you can adjust the settings manually",PASSIVE,PRESENT_X;CANON,709;PRESENT_X;CANON,*,0.5477714671,,-
3276,"this is the best camera that we have, it's a Canon EOS 5d, it's a DSLR camera, it has a full manual settings and a full frame sensor",PASSIVE,PRESENT_X;CANON,709;PRESENT_X;CANON,-,0.5477714671,,-
2614,yes how can I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
3253,yes how can I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,*,0.6282768609,,-
2663,how can I help you today,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4424,can i help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
